Index,PctInt*100,NGI Set Intensity,x,y,Lumens
183,546,0.0546,0.1253,0.0643,0.32357
184,549,0.0549,0.1252,0.0643,0.32542
185,552,0.0552,0.1254,0.0645,0.32592
186,555,0.0555,0.1252,0.0644,0.32736
187,558,0.0558,0.1253,0.0643,0.32974
188,561,0.0561,0.1252,0.0644,0.3302
189,564,0.0564,0.1253,0.0644,0.33188
190,567,0.0567,0.1254,0.0644,0.33292
191,570,0.057,0.1253,0.064,0.33711
192,573,0.0573,0.1254,0.0643,0.33736
193,576,0.0576,0.1254,0.0643,0.33782
194,579,0.0579,0.1254,0.0644,0.33955
195,582,0.0582,0.1256,0.0644,0.34145
196,585,0.0585,0.1255,0.0643,0.34382
197,588,0.0588,0.1255,0.0645,0.34456
198,591,0.0591,0.1254,0.0641,0.346
199,594,0.0594,0.1254,0.0638,0.34831
200,597,0.0597,0.1255,0.0641,0.34898
201,600,0.06,0.1254,0.0641,0.35059
202,603,0.0603,0.1254,0.0637,0.35281
203,606,0.0606,0.1256,0.0639,0.3538
204,609,0.0609,0.1255,0.0641,0.35529
205,612,0.0612,0.1256,0.0644,0.35518
206,615,0.0615,0.1255,0.0639,0.3581
207,618,0.0618,0.1257,0.0643,0.35835
208,621,0.0621,0.1256,0.064,0.36147
209,624,0.0624,0.1255,0.0641,0.3623
210,627,0.0627,0.1256,0.064,0.36329
211,630,0.063,0.1256,0.0641,0.36313
212,633,0.0633,0.1256,0.0638,0.36427
213,636,0.0636,0.1257,0.0639,0.36679
214,639,0.0639,0.1259,0.0645,0.36757
215,642,0.0642,0.1256,0.0637,0.37098
216,645,0.0645,0.1256,0.064,0.37218
217,648,0.0648,0.1256,0.0637,0.37469
218,651,0.0651,0.1256,0.0635,0.37656
219,654,0.0654,0.1256,0.0634,0.37799
220,657,0.0657,0.1257,0.0637,0.37896
221,660,0.066,0.1256,0.0636,0.38045
222,663,0.0663,0.1256,0.0634,0.38188
223,666,0.0666,0.1257,0.0639,0.38141
224,669,0.0669,0.1256,0.0636,0.38372
225,672,0.0672,0.1257,0.0633,0.38576
226,675,0.0675,0.1257,0.0634,0.3867
227,678,0.0678,0.1257,0.0634,0.38801
228,681,0.0681,0.1257,0.0636,0.38833
229,684,0.0684,0.1257,0.0633,0.39024
230,687,0.0687,0.1257,0.0633,0.39285
231,690,0.069,0.1257,0.0633,0.39351
232,693,0.0693,0.1257,0.0633,0.39464
233,696,0.0696,0.1257,0.0633,0.39637
234,699,0.0699,0.1258,0.0635,0.39692
235,702,0.0702,0.1258,0.0632,0.39857
236,705,0.0705,0.1258,0.0632,0.40018
237,708,0.0708,0.1257,0.0632,0.40109
238,711,0.0711,0.1258,0.0633,0.40127
239,714,0.0714,0.1258,0.0634,0.4023
240,717,0.0717,0.1258,0.0631,0.40527
241,720,0.072,0.1258,0.0632,0.405
242,723,0.0723,0.1258,0.0633,0.40629
243,726,0.0726,0.1258,0.0632,0.40917
244,729,0.0729,0.1258,0.0631,0.41063
245,732,0.0732,0.1258,0.0632,0.4118
246,735,0.0735,0.1258,0.0633,0.41222
247,738,0.0738,0.1258,0.063,0.41439
248,741,0.0741,0.1259,0.063,0.4154
249,744,0.0744,0.1259,0.0632,0.41618
250,747,0.0747,0.1259,0.0632,0.41748
251,750,0.075,0.1259,0.0632,0.4186
252,753,0.0753,0.1259,0.0631,0.41951
253,756,0.0756,0.1259,0.0629,0.42231
254,759,0.0759,0.1259,0.0633,0.42187
255,762,0.0762,0.1259,0.063,0.42383
256,765,0.0765,0.1259,0.063,0.42563
257,768,0.0768,0.126,0.0632,0.42675
258,771,0.0771,0.1259,0.0629,0.42807
259,774,0.0774,0.126,0.0632,0.42791
260,777,0.0777,0.1259,0.063,0.43125
261,780,0.078,0.126,0.063,0.43203
262,783,0.0783,0.126,0.0629,0.43421
263,786,0.0786,0.126,0.063,0.43413
264,789,0.0789,0.126,0.0632,0.43447
265,792,0.0792,0.126,0.0632,0.43541
266,795,0.0795,0.126,0.063,0.43606
267,798,0.0798,0.126,0.0628,0.43815
268,801,0.0801,0.126,0.0629,0.43827
269,804,0.0804,0.1261,0.063,0.43928
270,807,0.0807,0.1261,0.0628,0.44433
271,810,0.081,0.126,0.0627,0.44601
272,813,0.0813,0.126,0.0628,0.44677
273,816,0.0816,0.1261,0.0628,0.44831
274,819,0.0819,0.1261,0.0627,0.44987
275,822,0.0822,0.1261,0.0628,0.45066
276,825,0.0825,0.1261,0.0627,0.45236
277,828,0.0828,0.1261,0.0626,0.4538
278,831,0.0831,0.1261,0.0627,0.45342
279,834,0.0834,0.1261,0.0628,0.45499
280,837,0.0837,0.1261,0.0626,0.45697
281,840,0.084,0.1261,0.0627,0.45809
282,843,0.0843,0.1261,0.0625,0.4588
283,846,0.0846,0.1262,0.0626,0.46068
284,849,0.0849,0.1262,0.0626,0.46236
